,number,value,datetime_start,datetime_complete,duration,params_droput_rate,params_image_size,params_lr,params_optimizer,state
0,0,0.24,2020-11-16 18:46:42.959062,2020-11-16 18:46:52.264398,0 days 00:00:09.305336,0.4,"(300, 300)",8.739653268100043e-06,<class 'torch.optim.sgd.SGD'>,COMPLETE
1,1,0.19,2020-11-16 18:46:52.265395,2020-11-16 18:46:57.698857,0 days 00:00:05.433462,0.5,"(180, 180)",3.6861768033212806e-06,<class 'torch.optim.adam.Adam'>,COMPLETE
2,2,0.2,2020-11-16 18:46:57.698857,2020-11-16 18:47:02.149426,0 days 00:00:04.450569,0.30000000000000004,"(180, 180)",6.791960495725805e-06,<class 'torch.optim.sgd.SGD'>,COMPLETE
3,3,0.2,2020-11-16 18:47:02.150424,2020-11-16 18:47:07.158948,0 days 00:00:05.008524,0.2,"(224, 224)",5.7161324167801615e-06,<class 'torch.optim.sgd.SGD'>,COMPLETE
4,4,0.36,2020-11-16 18:47:07.159946,2020-11-16 18:47:13.538408,0 days 00:00:06.378462,0.4,"(224, 224)",3.1967072864114035e-05,<class 'torch.optim.adam.Adam'>,COMPLETE
5,5,0.17,2020-11-16 18:47:13.538408,2020-11-16 18:47:15.436934,0 days 00:00:01.898526,0.4,"(180, 180)",2.1502124482593835e-06,<class 'torch.optim.sgd.SGD'>,PRUNED
6,6,0.19,2020-11-16 18:47:15.436934,2020-11-16 18:47:21.954152,0 days 00:00:06.517218,0.2,"(300, 300)",1.8743793496440336e-06,<class 'torch.optim.sgd.SGD'>,COMPLETE
7,7,0.2,2020-11-16 18:47:21.955149,2020-11-16 18:47:23.925420,0 days 00:00:01.970271,0.5,"(150, 150)",2.34478456390253e-06,<class 'torch.optim.adam.Adam'>,PRUNED
8,8,0.2,2020-11-16 18:47:23.925420,2020-11-16 18:47:25.797470,0 days 00:00:01.872050,0.1,"(180, 180)",3.6617143832138425e-05,<class 'torch.optim.sgd.SGD'>,PRUNED
9,9,0.28,2020-11-16 18:47:25.798467,2020-11-16 18:47:30.783391,0 days 00:00:04.984924,0.2,"(180, 180)",4.158646684363512e-05,<class 'torch.optim.adam.Adam'>,COMPLETE
